param,test,train,val
0.1,0.3269764482975006,0.34613874554634094,0.3416779637336731
0.2,0.34723541140556335,0.3672115206718445,0.36288535594940186
0.3,0.35476014018058777,0.37490588426589966,0.370364248752594
0.4,0.3630662262439728,0.3841012418270111,0.3793904185295105
0.5,0.365479975938797,0.3864147663116455,0.38187769055366516
0.6,0.37531307339668274,0.39679622650146484,0.3921685516834259
0.7,0.37276187539100647,0.39435794949531555,0.38963961601257324
0.8,0.3901326060295105,0.4122607707977295,0.40778690576553345
0.9,0.35643061995506287,0.3770259618759155,0.3725425899028778
1.0,0.39003458619117737,0.4124285578727722,0.4078117907047272
1.1,0.40026310086250305,0.42334067821502686,0.4186208248138428
1.2,0.43833041191101074,0.46341022849082947,0.4588228762149811
1.3,0.3892403244972229,0.4116608202457428,0.4071073532104492
1.4,0.3659319579601288,0.3871661126613617,0.3825606405735016
1.5,0.43255165219306946,0.45712825655937195,0.451928049325943
1.6,0.3932071328163147,0.41561445593833923,0.41113150119781494
1.7,0.38240376114845276,0.4044523537158966,0.3998379707336426
1.8,0.43199220299720764,0.4562820792198181,0.45145606994628906
1.9,0.4323734939098358,0.4565373659133911,0.45173439383506775
2.0,0.44010859727859497,0.464824914932251,0.46011364459991455
2.1,0.4614768922328949,0.4874584674835205,0.48256969451904297
2.2,0.39607763290405273,0.4185926914215088,0.4140494465827942
2.3,0.38129326701164246,0.40315157175064087,0.39867326617240906
2.4,0.44539517164230347,0.47064459323883057,0.4654536545276642
2.5,0.4366915225982666,0.461435467004776,0.4564460217952728
2.6,0.4064863622188568,0.4296973645687103,0.42503657937049866
2.7,0.4216667413711548,0.4455656409263611,0.4405970275402069
2.8,0.3895709812641144,0.4118863344192505,0.40716302394866943
2.9,0.3924888074398041,0.4151151478290558,0.41047266125679016
3.0,0.408574640750885,0.43126803636550903,0.4265492558479309
3.1,0.4437665045261383,0.46887803077697754,0.46413710713386536
3.2,0.4091190993785858,0.4320621192455292,0.42733433842658997
3.3,0.40316593647003174,0.4261080324649811,0.42133069038391113
3.4,0.4023941457271576,0.4255249798297882,0.42062056064605713
3.5,0.4067596197128296,0.43000534176826477,0.425299733877182
3.6,0.43338966369628906,0.45793136954307556,0.4529954195022583
3.7,0.4543870985507965,0.48002758622169495,0.4752640426158905
3.8,0.4413147568702698,0.4659940302371979,0.46104609966278076
3.9,0.42242634296417236,0.44628915190696716,0.44154971837997437
4.0,0.4217115044593811,0.4457678198814392,0.44092005491256714
4.1,0.417027086019516,0.4408525228500366,0.43590712547302246
4.2,0.4370831847190857,0.46150556206703186,0.45654088258743286
4.3,0.3829379677772522,0.40461504459381104,0.399751752614975
4.4,0.431600958108902,0.45607131719589233,0.4511330723762512
4.5,0.4064503610134125,0.4295068085193634,0.42480337619781494
4.6,0.4401940405368805,0.4648011028766632,0.4597527086734772
4.7,0.4285348057746887,0.453046977519989,0.44810718297958374
4.8,0.4107975661754608,0.4343447983264923,0.42955291271209717
4.9,0.4004380404949188,0.42350730299949646,0.41876649856567383
5.0,0.44664809107780457,0.47171124815940857,0.4664866626262665
