,test,train,val
0,0.02551509626209736,0.018651191145181656,0.019053908064961433
1,0.019298160448670387,0.01371655985713005,0.011700928211212158
2,0.02104216255247593,0.014554438181221485,0.014735844917595387
3,0.05574867129325867,0.051686663180589676,0.0519585981965065
4,0.02913244068622589,0.02174566127359867,0.022389035671949387
5,0.10636032372713089,0.12051607668399811,0.12987811863422394
6,0.09431245923042297,0.0710684284567833,0.0711979940533638
7,0.024327129125595093,0.01722075417637825,0.016641264781355858
8,0.11309550702571869,0.12603071331977844,0.12052259594202042
9,0.03726894408464432,0.030340522527694702,0.030679451301693916
