test,train,val
0.10072121024131775,0.07787317037582397,0.0764375776052475
0.022555142641067505,0.022966252639889717,0.023753389716148376
0.01721421256661415,0.012136712670326233,0.01126021333038807
0.043054573237895966,0.0416104681789875,0.04089966043829918
0.03935445100069046,0.028137698769569397,0.0280168354511261
0.03249169513583183,0.024085761979222298,0.02460116147994995
0.01918281987309456,0.011170268058776855,0.011032165959477425
0.04591488465666771,0.04932112246751785,0.0468340627849102
0.014899007976055145,0.012587613426148891,0.012691953219473362
0.014347541145980358,0.010584495030343533,0.010628328658640385
